Set,Problem,Initial,Move,Feasibility,size,nImprove,nNeutral,nWorse,nnFrac
Lpr,Lpr-a-01,U_5R_best,relocate,infeasible,53,0,0,0,1.00
Lpr,Lpr-a-01,U_5R_best,relocate,feasible,53,0,21,2581,1.00
Lpr,Lpr-a-01,U_5R_best,exchange,infeasible,53,0,0,0,1.00
Lpr,Lpr-a-01,U_5R_best,exchange,feasible,53,0,1,1275,1.00
Lpr,Lpr-a-01,U_5R_best,relocateBeforeDummy,infeasible,53,0,0,0,1.00
Lpr,Lpr-a-01,U_5R_best,relocateBeforeDummy,feasible,53,0,0,102,1.00
Lpr,Lpr-a-01,U_5R_best,crossAtDummy,infeasible,53,4,1,59,1.00
Lpr,Lpr-a-01,U_5R_best,crossAtDummy,feasible,53,0,1,37,1.00
Lpr,Lpr-a-01,U_5R_best,cross,infeasible,53,0,42,712,1.00
Lpr,Lpr-a-01,U_5R_best,cross,feasible,53,0,15,507,1.00
Lpr,Lpr-a-01,IM_best,relocate,infeasible,53,0,0,0,1.00
Lpr,Lpr-a-01,IM_best,relocate,feasible,53,0,32,2570,1.00
Lpr,Lpr-a-01,IM_best,exchange,infeasible,53,0,0,0,1.00
Lpr,Lpr-a-01,IM_best,exchange,feasible,53,0,5,1271,1.00
Lpr,Lpr-a-01,IM_best,relocateBeforeDummy,infeasible,53,0,0,0,1.00
Lpr,Lpr-a-01,IM_best,relocateBeforeDummy,feasible,53,0,4,98,1.00
Lpr,Lpr-a-01,IM_best,crossAtDummy,infeasible,53,4,3,55,1.00
Lpr,Lpr-a-01,IM_best,crossAtDummy,feasible,53,0,5,35,1.00
Lpr,Lpr-a-01,IM_best,cross,infeasible,53,0,49,683,1.00
Lpr,Lpr-a-01,IM_best,cross,feasible,53,0,14,530,1.00
Lpr,Lpr-a-01,PS_5R_best,relocate,infeasible,53,0,3,181,1.00
Lpr,Lpr-a-01,PS_5R_best,relocate,feasible,53,0,18,2400,1.00
Lpr,Lpr-a-01,PS_5R_best,exchange,infeasible,53,0,0,66,1.00
Lpr,Lpr-a-01,PS_5R_best,exchange,feasible,53,0,1,1209,1.00
Lpr,Lpr-a-01,PS_5R_best,relocateBeforeDummy,infeasible,53,0,0,4,1.00
Lpr,Lpr-a-01,PS_5R_best,relocateBeforeDummy,feasible,53,0,0,98,1.00
Lpr,Lpr-a-01,PS_5R_best,crossAtDummy,infeasible,53,4,0,60,1.00
Lpr,Lpr-a-01,PS_5R_best,crossAtDummy,feasible,53,0,1,37,1.00
Lpr,Lpr-a-01,PS_5R_best,cross,infeasible,53,0,40,1001,1.00
Lpr,Lpr-a-01,PS_5R_best,cross,feasible,53,0,15,220,1.00
Lpr,Lpr-a-02,IM_best,relocate,infeasible,110,0,0,0,1.00
Lpr,Lpr-a-02,IM_best,relocate,feasible,110,0,42,11080,1.00
Lpr,Lpr-a-02,IM_best,relocateBeforeDummy,infeasible,110,0,0,0,1.00
Lpr,Lpr-a-02,IM_best,relocateBeforeDummy,feasible,110,0,2,321,1.00
Lpr,Lpr-a-02,IM_best,crossAtDummy,infeasible,110,11,0,252,1.00
Lpr,Lpr-a-02,IM_best,crossAtDummy,feasible,110,0,2,44,1.00
Lpr,Lpr-a-02,IM_best,exchange,infeasible,110,0,0,0,1.00
Lpr,Lpr-a-02,IM_best,exchange,feasible,110,0,4,5767,1.00
Lpr,Lpr-a-02,IM_best,cross,infeasible,110,0,98,3603,1.00
Lpr,Lpr-a-02,IM_best,cross,feasible,110,0,16,1538,1.00
Lpr,Lpr-a-02,PS_5R_best,relocate,infeasible,110,1,5,2741,1.00
Lpr,Lpr-a-02,PS_5R_best,relocate,feasible,110,0,32,8342,1.00
Lpr,Lpr-a-02,PS_5R_best,relocateBeforeDummy,infeasible,110,0,1,66,1.00
Lpr,Lpr-a-02,PS_5R_best,relocateBeforeDummy,feasible,110,0,1,256,1.00
Lpr,Lpr-a-02,PS_5R_best,crossAtDummy,infeasible,110,10,3,244,1.00
