PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
S	Corberan, Angel; Plana, Isaac; Maria Sanchis, Jose				SANCHIS, JOSE M/H-5912-2015	SANCHIS, JOSE M/0000-0002-0039-8122	Corberan, A; Laporte, G		The Chinese Postman Problem on Directed, Mixed, and Windy Graphs								ARC ROUTING: PROBLEMS, METHODS, AND APPLICATIONS		MOS-SIAM Series on Optimization		20				65	83							2014	2014																		1549-2540		978-1-611973-66-2	WOS:000444172100005		
S	Corberan, Angel; Plana, Isaac; Maria Sanchis, Jose				SANCHIS, JOSE M/H-5912-2015	SANCHIS, JOSE M/0000-0002-0039-8122	Corberan, A; Laporte, G		The Rural Postman Problem on Directed, Mixed, and Windy Graphs								ARC ROUTING: PROBLEMS, METHODS, AND APPLICATIONS		MOS-SIAM Series on Optimization		20				101	127							2014	2014																		1549-2540		978-1-611973-66-2	WOS:000444172100007		
J	Corberan, Angel; Plana, Isaac; Rodriguez-Chia, Antonio M.; Sanchis, Jose M.				Plana, Isaac/H-6656-2015; Corberan, Angel/K-2435-2014; SANCHIS, JOSE M/H-5912-2015; Rodriguez-Chia, Antonio Manuel/K-4435-2014	Plana, Isaac/0000-0002-0516-4608; SANCHIS, JOSE M/0000-0002-0039-8122; Rodriguez-Chia, Antonio Manuel/0000-0002-1708-2108			A branch-and-cut algorithm for the maximum benefit Chinese postman problem								MATHEMATICAL PROGRAMMING				141	1-2			21	48		10.1007/s10107-011-0507-6					OCT 2013	2013																		0025-5610			WOS:000324232100002		
J	Corberan, Angel; Oswald, Marcus; Plana, Isaac; Reinelt, Gerhard; Sanchis, Jose M.				Plana, Isaac/H-6656-2015; Corberan, Angel/K-2435-2014; SANCHIS, JOSE M/H-5912-2015	Plana, Isaac/0000-0002-0516-4608; SANCHIS, JOSE M/0000-0002-0039-8122			New results on the Windy Postman Problem								MATHEMATICAL PROGRAMMING				132	1-2			309	332		10.1007/s10107-010-0399-x					APR 2012	2012																		0025-5610	1436-4646		WOS:000301454100013		
J	Corberan, Angel; Golden, Bruce; Lum, Oliver; Plana, Isaac; Sanchis, Jose M.					Corberan, Angel/0000-0002-0664-4232			Aesthetic considerations for the min-max K-Windy Rural Postman Problem								NETWORKS				70	3	SI		216	232		10.1002/net.21748					OCT 2017	2017						2nd Workshop on Arc Routing Problems (WARP)2nd Workshop on Arc Routing Problems (WARP)	MAY 22-24, 2016MAY 22-24, 2016		Univ Lisboa, ISEG Lisbon Sch Econ & Management, Lisbon, PORTUGALUniv Lisboa, ISEG Lisbon Sch Econ & Management, Lisbon, PORTUGAL									0028-3045	1097-0037		WOS:000409070700004		
J	Corberan, Angel; Prins, Christian				Corberan, Angel/K-2435-2014	PRINS, Christian/0000-0002-0184-0357; Corberan, Angel/0000-0002-0664-4232			Recent Results on Arc Routing Problems: An Annotated Bibliography								NETWORKS				56	1			50	69		10.1002/net.20347					AUG 2010	2010																		0028-3045	1097-0037		WOS:000280447500006		
J	Corberan, Angel; Fernandez, Elena; Franquesa, Carles; Maria Sanchis, Jose				Fernandez, Elena/E-1799-2012; Corberan, Angel/K-2435-2014; SANCHIS, JOSE M/H-5912-2015	Fernandez, Elena/0000-0003-4714-0257; SANCHIS, JOSE M/0000-0002-0039-8122; Corberan, Angel/0000-0002-0664-4232			The Windy Clustered Prize-Collecting Arc-Routing Problem								TRANSPORTATION SCIENCE				45	3			317	334		10.1287/trsc.1110.0370					AUG 2011	2011																		0041-1655			WOS:000293890400003		
J	Cortinhal, Maria Joao; Mourao, Maria Candida; Nunes, Ana Catarina				Mourao, Maria Candida/P-4585-2016; , CMAFcIO/N-7922-2019; Nunes, Ana Catarina/A-2148-2013	Mourao, Maria Candida/0000-0002-3891-6730; Cortinhal, Maria Joao/0000-0002-9053-1221; Nunes, Ana Catarina/0000-0002-4025-1985			Local search heuristics for sectoring routing in a household waste collection context								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				255	1			68	79		10.1016/j.ejor.2016.04.013					NOV 16 2016	2016																		0377-2217	1872-6860		WOS:000379636100006		
J	Cygan, Marek; Marx, Daniel; Pilipczuk, Marcin; Pilipczuk, Michal; Schlotter, Ildiko					Cygan, Marek/0000-0003-2472-2975; Pilipczuk, Michal/0000-0001-7891-1988; Pilipczuk, Marcin/0000-0001-5680-7397			Parameterized Complexity of Eulerian Deletion Problems								ALGORITHMICA				68	1			41	61		10.1007/s00453-012-9667-x					JAN 2014	2014																		0178-4617	1432-0541		WOS:000329093300003		
S	Cygan, Marek; Marx, Daniel; Pilipczuk, Marcin; Pilipczuk, Michal; Schlotter, Ildiko					Pilipczuk, Marcin/0000-0001-5680-7397; Cygan, Marek/0000-0003-2472-2975; Pilipczuk, Michal/0000-0001-7891-1988	Kolman, P; Kratochvil, J		Parameterized Complexity of Eulerian Deletion Problems								GRAPH-THEORETIC CONCEPTS IN COMPUTER SCIENCE		Lecture Notes in Computer Science		6986				131	+							2011	2011						37th International Workshop on Graph-Theoretic Concepts in Computer Science (WG 2011)37th International Workshop on Graph-Theoretic Concepts in Computer Science (WG 2011)	JUN 21-24, 2011JUN 21-24, 2011		Tepla Monastery, CZECH REPUBLICTepla Monastery, CZECH REPUBLIC									0302-9743	1611-3349	978-3-642-25869-5; 978-3-642-25870-1	WOS:000307088100013		
J	Dell'Amico, Mauro; Diaz, Jose Carlos Diaz; Hasle, Geir; Iori, Manuel					Hasle, Geir/0000-0003-0546-2792; Iori, Manuel/0000-0003-2097-6572			An Adaptive Iterated Local Search for the Mixed Capacitated General Routing Problem								TRANSPORTATION SCIENCE				50	4			1223	1238		10.1287/trsc.2015.0660					NOV 2016	2016						5th ODYSSEUS International Workshop on Freight Transportation and Logistics5th ODYSSEUS International Workshop on Freight Transportation and Logistics	MAY, 2012MAY, 2012	ODYSSEUSODYSSEUS	Mykonos, GREECEMykonos, GREECE									0041-1655			WOS:000388495100008		
J	Ding, Honglin; Li, Jianping; Lih, Ko-Wei								Approximation algorithms for solving the constrained arc routing problem in mixed graphs								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				239	1			80	88		10.1016/j.ejor.2014.04.039					NOV 16 2014	2014																		0377-2217	1872-6860		WOS:000339148900007		
J	Dorn, Frederic; Moser, Hannes; Niedermeier, Rolf; Weller, Mathias					Weller, Mathias/0000-0002-9653-3690			EFFICIENT ALGORITHMS FOR EULERIAN EXTENSION AND RURAL POSTMAN								SIAM JOURNAL ON DISCRETE MATHEMATICS				27	1			75	94		10.1137/110834810					2013	2013																		0895-4801	1095-7146		WOS:000316868600005		
J	Doulabi, Seyed Hossein Hashemi; Seifi, Abbas								Lower and upper bounds for location-arc routing problems with vehicle capacity constraints								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				224	1			189	208		10.1016/j.ejor.2012.06.015					JAN 1 2013	2013																		0377-2217	1872-6860		WOS:000310035200017		
J	Drexl, Michael								On the generalized directed rural postman problem								JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY				65	8			1143	1154		10.1057/jors.2013.60					AUG 2014	2014																		0160-5682	1476-9360		WOS:000339230200001		
J	Dussault, Benjamin; Golden, Bruce; Groer, Chris; Wasil, Edward								Plowing with precedence: A variant of the windy postman problem								COMPUTERS & OPERATIONS RESEARCH				40	4			1047	1059		10.1016/j.cor.2012.10.013					APR 2013	2013																		0305-0548	1873-765X		WOS:000314483400016		
J	Dussault, Benjamin; Golden, Bruce; Wasil, Edward								The downhill plow problem with multiple plows								JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY				65	10			1465	1474		10.1057/jors.2013.83					OCT 2014	2014																		0160-5682	1476-9360		WOS:000341787700001		
S	Eglese, Richard; Golden, Bruce; Wasil, Edward					Eglese, Richard William/0000-0003-2781-9828	Corberan, A; Laporte, G		Route Optimization for Meter Reading and Salt Spreading								ARC ROUTING: PROBLEMS, METHODS, AND APPLICATIONS		MOS-SIAM Series on Optimization		20				303	320							2014	2014																		1549-2540		978-1-611973-66-2	WOS:000444172100014		
J	Euchi, J.; Chabchoub, H.				EUCHI, JALEL/T-7280-2017	EUCHI, JALEL/0000-0001-6873-5060; Chabchoub, Habib/0000-0002-1101-2360			Hybrid metaheuristics for the profitable arc tour problem								JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY				62	11			2013	2022		10.1057/jors.2010.179					NOV 2011	2011																		0160-5682			WOS:000295899100011		
J	Fernandez, Elena; Fontana, Dario; Grazia Speranza, M.				Fernandez, Elena/E-1799-2012	Fernandez, Elena/0000-0003-4714-0257; Speranza, Maria Grazia/0000-0002-8893-5227			On the Collaboration Uncapacitated Arc Routing Problem								COMPUTERS & OPERATIONS RESEARCH				67				120	131		10.1016/j.cor.2015.10.001					MAR 2016	2016																		0305-0548	1873-765X		WOS:000367483900011		
J	Foulds, Les; Longo, Humberto; Martins, Jean				Inst Cien Matematicas Computacao, ICMC/USP/D-8320-2017	Martins, Jean P./0000-0003-2112-3723			A compact transformation of arc routing problems into node routing problems								ANNALS OF OPERATIONS RESEARCH				226	1			177	200		10.1007/s10479-014-1732-1					MAR 2015	2015																		0254-5330	1572-9338		WOS:000349852400009		
J	Fung, Richard Y. K.; Liu, Ran; Jiang, Zhibin				Fung, Richard Y K/M-3040-2019	Fung, Richard Y K/0000-0002-3215-1992			A memetic algorithm for the open capacitated arc routing problem								TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW				50				53	67		10.1016/j.tre.2012.11.003					FEB 2013	2013																		1366-5545			WOS:000315248100005		
J	Garcia-Ayala, Gabriela; Luis Gonzalez-Velardea, Jose; Rios-Mercado, Roger Z.; Fernandez, Elena				Fernandez, Elena/E-1799-2012	Fernandez, Elena/0000-0003-4714-0257; Rios-Mercado, Roger/0000-0003-1053-5183			A novel model for arc territory design: promoting Eulerian districts								INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH				23	3			433	458		10.1111/itor.12219					MAY 2016	2016																		0969-6016	1475-3995		WOS:000368144400004		
S	Gaspar, Laszlo; Bencze, Zsolt						Rafalski, L; Zofka, A		Salting route optimization in Hungary								TRANSPORT RESEARCH ARENA TRA2016		Transportation Research Procedia		14				2421	2430		10.1016/j.trpro.2016.05.285					2016	2016						6th Transport Research Arena (TRA)6th Transport Research Arena (TRA)	APR 18-21, 2016APR 18-21, 2016	Minist Infrastructure & Construct Poland; Road & Bridge Res InstMinist Infrastructure & Construct Poland; Road & Bridge Res Inst	Warsaw, POLANDWarsaw, POLAND									2352-1465		*****************	WOS:000383251002053		
J	Gavalas, Damianos; Konstantopoulos, Charalampos; Mastakas, Konstantinos; Pantziou, Grammati; Vathis, Nikolaos								Efficient Metaheuristics for the Mixed Team Orienteering Problem with Time Windows								ALGORITHMS				9	1					UNSP 6	10.3390/a9010006					MAR 2016	2016																		1999-4893			WOS:000373055900002		
S	Ghiani, Gianpaolo; Laporte, Gilbert						Corberan, A; Laporte, G		The Undirected Rural Postman Problem								ARC ROUTING: PROBLEMS, METHODS, AND APPLICATIONS		MOS-SIAM Series on Optimization		20				85	99							2014	2014																		1549-2540		978-1-611973-66-2	WOS:000444172100006		
S	Ghiani, Gianpaolo; Mourao, Candida; Pinto, Leonor; Vigo, Daniele						Corberan, A; Laporte, G		Routing in Waste Collection Applications								ARC ROUTING: PROBLEMS, METHODS, AND APPLICATIONS		MOS-SIAM Series on Optimization		20				351	370							2014	2014																		1549-2540		978-1-611973-66-2	WOS:000444172100016		
J	Ghiani, Gianpaolo; Lagana, Demetrio; Laporte, Gilbert; Mari, Francesco				Lagana, Demetrio/Q-3039-2016	Lagana, Demetrio/0000-0003-2618-6715; GHIANI, Gianpaolo/0000-0002-5243-1799			Ant colony optimization for the arc routing problem with intermediate facilities under capacity and length restrictions								JOURNAL OF HEURISTICS				16	2			211	233		10.1007/s10732-008-9097-8					APR 2010	2010																		1381-1231	1572-9397		WOS:000275441100005		
J	Gouveia, Luis; Mourao, Maria Candida; Pinto, Leonor Santiago				FCUL, CIO/D-3663-2015; Gouveia, Luis/M-3978-2017; Mourao, Maria Candida/P-4585-2016	Gouveia, Luis/0000-0003-4393-1617; Mourao, Maria Candida/0000-0002-3891-6730; Santiago Pinto, Leonor/0000-0002-2180-1953			Lower bounds for the mixed capacitated arc routing problem								COMPUTERS & OPERATIONS RESEARCH				37	4			692	699		10.1016/j.cor.2009.06.018					APR 2010	2010																		0305-0548			WOS:000272058100009		
J	Grandinetti, L.; Guerriero, F.; Lagana, D.; Pisacane, O.				Guerriero, Francesca/F-7670-2013; Lagana, Demetrio/Q-3039-2016	Guerriero, Francesca/0000-0002-3887-1317; Lagana, Demetrio/0000-0003-2618-6715; pisacane, ornella/0000-0003-1174-0162			An optimization-based heuristic for the Multi-objective Undirected Capacitated Arc Routing Problem								COMPUTERS & OPERATIONS RESEARCH				39	10			2300	2309		10.1016/j.cor.2011.12.009					OCT 2012	2012																		0305-0548			WOS:000301313900004		
J	Granot, Daniel; Granot, Frieda; Ravichandran, Harshavardhan								The k-centrum Chinese Postman delivery problem and a related cost allocation game								DISCRETE APPLIED MATHEMATICS				179				100	108		10.1016/j.dam.2014.07.021					DEC 31 2014	2014																		0166-218X	1872-6771		WOS:000347131300009		
J	Gunawan, Aldy; Lau, Hoong Chuin; Vansteenwegen, Pieter				LAU, Hoong Chuin/E-8556-2012; Vansteenwegen, Pieter/W-2501-2018	LAU, Hoong Chuin/0000-0002-5326-411X; Vansteenwegen, Pieter/0000-0002-5646-669X			Orienteering Problem: A survey of recent variants, solution approaches and applications								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				255	2			315	332		10.1016/j.ejor.2016.04.059					DEC 1 2016	2016																		0377-2217	1872-6860		WOS:000380625800001		
J	Gutin, Gregory; Jones, Mark; Sheng, Bin; Wahlstrom, Magnus; Yeo, Anders								Chinese Postman Problem on edge-colored multigraphs								DISCRETE APPLIED MATHEMATICS				217				196	202		10.1016/j.dam.2016.08.005					JAN 30 2017	2017																		0166-218X	1872-6771		WOS:000390827800011		
J	Gutin, Gregory; Jones, Mark; Sheng, Bin								Parameterized complexity of the k-arc Chinese Postman Problem								JOURNAL OF COMPUTER AND SYSTEM SCIENCES				84				107	119		10.1016/j.jcss.2016.07.006					MAR 2017	2017																		0022-0000	1090-2724		WOS:000388430000008		
J	Gutin, Gregory; Wahlstrom, Magnus; Yeo, Anders								Rural postman parameterized by the number of components of required edges								JOURNAL OF COMPUTER AND SYSTEM SCIENCES				83	1			121	131		10.1016/j.jcss.2016.06.001					FEB 2017	2017																		0022-0000	1090-2724		WOS:000384038500009		
J	Halvorsen-Weare, Elin E.; Savelsbergh, Martin W. P.				Savelsbergh, Martin/E-4295-2010; Savelsbergh, Martin/O-8434-2019	Savelsbergh, Martin/0000-0001-7031-5516; Savelsbergh, Martin/0000-0001-7031-5516			The bi-objective mixed capacitated general routing problem with different route balance criteria								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				251	2			451	465		10.1016/j.ejor.2015.11.024					JUN 1 2016	2016																		0377-2217	1872-6860		WOS:000378100800009		
J	Han, Hui; Ponce-Cueto, Eva				HAN, HUI/K-5060-2019; HAN, HUI/Y-8588-2018	HAN, HUI/0000-0001-9320-3808; HAN, HUI/0000-0001-9320-3808			WASTE COLLECTION VEHICLE ROUTING PROBLEM: LITERATURE REVIEW								PROMET-TRAFFIC & TRANSPORTATION				27	4			345	358		10.7307/ptt.v27i4.1616					2015	2015																		0353-5320	1848-4069		WOS:000361265300008		
J	Hochbaum, Dorit S.; Lyu, Cheng; Ordonez, Fernando				Ordonez, Fernando/I-4889-2013	Ordonez, Fernando/0000-0001-7037-6300			Security Routing Games with Multivehicle Chinese Postman Problem								NETWORKS				64	3			181	191		10.1002/net.21563					OCT 2014	2014						International Workshop on Freight Transportation and Logistics (ODYSSEUS)International Workshop on Freight Transportation and Logistics (ODYSSEUS)	MAY 21-25, 2012MAY 21-25, 2012		Mykonos, GREECEMykonos, GREECE									0028-3045	1097-0037		WOS:000344233000005		
J	Holmberg, Kaj				Holmberg, Kaj/F-1538-2010	Holmberg, Kaj/0000-0001-5907-0087			Heuristics for the rural postman problem								COMPUTERS & OPERATIONS RESEARCH				37	5			981	990		10.1016/j.cor.2009.08.004					MAY 2010	2010																		0305-0548			WOS:000272652900018		
J	Huang, Shan-Huen; Lin, Pei-Chun				Lin, Pei-Chun/F-7857-2012	Lin, Pei-Chun/0000-0002-4400-923X			Multi-treatment capacitated arc routing of construction machinery in Taiwan's smooth road project								AUTOMATION IN CONSTRUCTION				21				210	218		10.1016/j.autcon.2011.06.005					JAN 2012	2012																		0926-5805			WOS:000298893700020		
S	Huber, Sandra						Bui, TX; Sprague, RH		Strategic decision support for the bi-objective Location-Arc Routing Problem								PROCEEDINGS OF THE 49TH ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES (HICSS 2016)		Proceedings of the Annual Hawaii International Conference on System Sciences						1407	1416		10.1109/HICSS.2016.178					2016	2016						49th Hawaii International Conference on System Sciences (HICSS)49th Hawaii International Conference on System Sciences (HICSS)	JAN 05-08, 2016JAN 05-08, 2016	Pacific Res Inst Informat Syst & Management; Univ Hawaii Manoa, Shidler Coll Business, Dept IT Management; IBM; Provalis Res; Int Soc Serv Innovat Profess; Teradata; Univ Network; IEEE Comp SocPacific Res Inst Informat Syst & Management; Univ Hawaii Manoa, Shidler Coll Business, Dept IT Management; IBM; Provalis Res; Int Soc Serv Innovat Profess; Teradata; Univ Network; IEEE Comp Soc	Koloa, HIKoloa, HI									1060-3425		978-0-7695-5670-3	WOS:000432711501063		
J	Irnich, Stefan; Lagana, Demetrio; Schlebusch, Claudia; Vocaturo, Francesca				Vocaturo, Francesca/C-6563-2016; Lagana, Demetrio/Q-3039-2016	Vocaturo, Francesca/0000-0001-7487-1077; Lagana, Demetrio/0000-0003-2618-6715; Irnich, Stefan/0000-0001-9383-4546			Two-phase branch-and-cut for the mixed capacitated general routing problem								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				243	1			17	29		10.1016/j.ejor.2014.11.005					MAY 16 2015	2015																		0377-2217	1872-6860		WOS:000349592500002		
J	Jang, Wooseung; Noble, James S.; Hutsel, Thomas								An integrated model to solve the winter asset and road maintenance problem								IIE TRANSACTIONS				42	9			675	689	PII 923008189	10.1080/07408171003705375					2010	2010																		0740-817X			WOS:000278680400005		
J	Kasaei, Maziar; Salman, F. Sibel				Salman, F. Sibel/I-4548-2012	Salman, F. Sibel/0000-0001-6833-2552			Arc routing problems to restore connectivity of a road network								TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW				95				177	206		10.1016/j.tre.2016.09.012					NOV 2016	2016																		1366-5545			WOS:000388247000010		
J	Kirlik, Gokhan; Sipahioglu, Aydin				Kirlik, Gokhan/D-5322-2019; Kirlik, Gokhan/Y-4512-2018; Kirlik, Gokhan/L-3826-2019	Kirlik, Gokhan/0000-0002-3823-908X; Kirlik, Gokhan/0000-0002-3823-908X; Kirlik, Gokhan/0000-0002-3823-908X			Capacitated arc routing problem with deadheading demands								COMPUTERS & OPERATIONS RESEARCH				39	10			2380	2394		10.1016/j.cor.2011.12.008					OCT 2012	2012																		0305-0548	1873-765X		WOS:000301313900011		
J	Kramberger, T.; Zerovnik, J.; Strubelj, G.; Prah, K.								GIS technology as an environment for testing an advanced mathematical model for optimization of road maintenance								CENTRAL EUROPEAN JOURNAL OF OPERATIONS RESEARCH				21		SI		S59	S73		10.1007/s10100-012-0265-4				1	JUN 2013	2013																		1435-246X	1613-9178		WOS:000318951200006		
J	Krushinsky, Dmitry; Van Woensel, Tom				Van Woensel, Tom/F-2674-2010; Krushinsky, Dmitry/E-7987-2012; Krushinsky, Dmitry/L-1654-2019	Van Woensel, Tom/0000-0003-4766-2346; Krushinsky, Dmitry/0000-0002-0414-447X; Krushinsky, Dmitry/0000-0002-0414-447X			An approach to the asymmetric multi-depot capacitated arc routing problem								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				244	1			100	109		10.1016/j.ejor.2015.01.005					JUL 1 2015	2015						26th EURO-INFORMS Joint International Conference26th EURO-INFORMS Joint International Conference	JUL 01-04, 2013JUL 01-04, 2013		Rome, ITALYRome, ITALY									0377-2217	1872-6860		WOS:000352667900010		
J	Lannez, Sebastien; Artigues, Christian; Damay, Jean; Gendreau, Michel				Gendreau, Michel/N-7950-2019; Gendreau, Michel/M-6235-2018	Gendreau, Michel/0000-0002-9262-3648; Gendreau, Michel/0000-0002-9262-3648			A railroad maintenance problem solved with a cut and column generation matheuristic								NETWORKS				66	1			40	56		10.1002/net.21605					AUG 2015	2015																		0028-3045	1097-0037		WOS:000357468500004		
J	Laporte, Gilbert; Musmanno, Roberto; Vocaturo, Francesca				Vocaturo, Francesca/C-6563-2016	Vocaturo, Francesca/0000-0001-7487-1077			An Adaptive Large Neighbourhood Search Heuristic for the Capacitated Arc-Routing Problem with Stochastic Demands								TRANSPORTATION SCIENCE				44	1			125	135		10.1287/trsc.1090.0290					FEB 2010	2010																		0041-1655			WOS:000275161400008		
J	Liu, Gang; Ge, Yongfeng; Qiu, Tony Z.; Soleymani, Hamid R.								Optimization of snow plowing cost and time in an urban environment: A case study for the City of Edmonton								CANADIAN JOURNAL OF CIVIL ENGINEERING				41	7			667	675		10.1139/cjce-2013-0409					JUL 2014	2014																		0315-1468	1208-6029		WOS:000339666000010		
J	Liu, Min; Singh, Hemant Kumar; Ray, Tapabrata				Ray, Tapabrata/B-5664-2012; Singh, Hemant/B-9861-2015	Ray, Tapabrata/0000-0003-1950-5917; Singh, Hemant/0000-0003-1653-232X			Application specific instance generator and a memetic algorithm for capacitated arc routing problems								TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES				43		SI		249	266		10.1016/j.trc.2014.04.001					JUN 2014	2014																		0968-090X			WOS:000357627000003		
J	Liu, Tiantang; Jiang, Zhibin; Geng, Na								A genetic local search algorithm for the multi-depot heterogeneous fleet capacitated arc routing problem								FLEXIBLE SERVICES AND MANUFACTURING JOURNAL				26	4	SI		540	564		10.1007/s10696-012-9166-z					DEC 2014	2014																		1936-6582	1936-6590		WOS:000345374700005		
J	Liu, Tiantang; Jiang, Zhibin; Geng, Na								A memetic algorithm with iterated local search for the capacitated arc routing problem								INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH				51	10			3075	3084		10.1080/00207543.2012.753165					MAY 1 2013	2013																		0020-7543			WOS:000317302100017		
J	Lopes, Rui Borges; Plastria, Frank; Ferreira, Carlos; Santos, Beatriz Sousa				FCUL, CIO/D-3663-2015; Plastria, Frank/M-8089-2019; , CMAFcIO/N-7922-2019; Lopes, Rui/E-5503-2010	Lopes, Rui/0000-0001-7676-7599; Sousa Santos, Beatriz/0000-0002-2219-2731; Ferreira, Carlos/0000-0002-2799-643X			Location-arc routing problem: Heuristic approaches and test instances								COMPUTERS & OPERATIONS RESEARCH				43				309	317		10.1016/j.cor.2013.10.003					MAR 2014	2014																		0305-0548	1873-765X		WOS:000329383300029		
J	Lopes, Rui Borges; Ferreira, Carlos; Santos, Beatriz Sousa; Barreto, Sergio				, CMAFcIO/N-7922-2019; Lopes, Rui/E-5503-2010; FCUL, CIO/D-3663-2015	Lopes, Rui/0000-0001-7676-7599; Ferreira, Carlos/0000-0002-2799-643X; Sousa Santos, Beatriz/0000-0002-2219-2731			A taxonomical analysis, current methods and objectives on location-routing problems								INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH				20	6			795	822		10.1111/itor.12032					NOV 2013	2013																		0969-6016	1475-3995		WOS:000325494000002		
J	Lum, Oliver; Cerrone, Carmine; Golden, Bruce; Wasil, Edward					Cerrone, Carmine/0000-0002-6243-4512			Partitioning a Street Network into Compact, Balanced, and Visually Appealing Routes								NETWORKS				69	3	SI		290	303		10.1002/net.21730					MAY 2017	2017						VeRoLog Annual ConferenceVeRoLog Annual Conference	JUN 08-10, 2015JUN 08-10, 2015	EURO Working Grp Vehicle Routing & Logist Optimizat; Assoc European Operat Res SocEURO Working Grp Vehicle Routing & Logist Optimizat; Assoc European Operat Res Soc	Univ Vienna, Vienna, AUSTRIAUniv Vienna, Vienna, AUSTRIA									0028-3045	1097-0037		WOS:000402153000005		
J	Mandal, Santosh Kumar; Pacciarelli, Dario; Lokketangen, Arne; Hasle, Geir					Hasle, Geir/0000-0003-0546-2792			A memetic NSGA-II for the bi-objective mixed capacitated general routing problem								JOURNAL OF HEURISTICS				21	3			359	390		10.1007/s10732-015-9280-7					JUN 2015	2015																		1381-1231	1572-9397		WOS:000354953500002		
S	Manuel Belenguer, Jose; Benavent, Enrique; Irnich, Stefan					Irnich, Stefan/0000-0001-9383-4546	Corberan, A; Laporte, G		The Capacitated Arc Routing Problem: Exact Algorithms								ARC ROUTING: PROBLEMS, METHODS, AND APPLICATIONS		MOS-SIAM Series on Optimization		20				183	221							2014	2014																		1549-2540		978-1-611973-66-2	WOS:000444172100010		
J	Martinelli, Rafael; Poggi, Marcus; Subramanian, Anand				Martinelli, Rafael/G-3846-2012	Martinelli, Rafael/0000-0001-5715-149X			Improved bounds for large scale capacitated arc routing problem								COMPUTERS & OPERATIONS RESEARCH				40	8			2145	2160		10.1016/j.cor.2013.02.013					AUG 2013	2013																		0305-0548	1873-765X		WOS:000319491300022		
S	Martins, Karine; Mourao, Maria Candida; Pinto, Leonor Santiago				Mourao, Maria Candida/P-4585-2016	Mourao, Maria Candida/0000-0002-3891-6730	Almeida, JP; Oliveira, JF; Pinto, AA		A Routing and Waste Collection Case-Study								OPERATIONAL RESEARCH: IO 2013 - XVI CONGRESS OF APDIO		CIM Series in Mathematical Sciences		4				261	275		10.1007/978-3-319-20328-7_15					2015	2015						16th National Conference of the APDIO16th National Conference of the APDIO	JUN 03-05, 2013JUN 03-05, 2013	Associacao Portuguesa Investigacao OperacAssociacao Portuguesa Investigacao Operac	Braganca, PORTUGALBraganca, PORTUGAL									2364-950X		978-3-319-20328-7; 978-3-319-20327-0	WOS:000377504400015		
J	Mei, Yi; Tang, Ke; Yao, Xin				Tang, Ke/E-5656-2015	Tang, Ke/0000-0002-6236-2002; Yao, Xin/0000-0001-8837-4442			Decomposition-Based Memetic Algorithm for Multiobjective Capacitated Arc Routing Problem								IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION				15	2			151	165		10.1109/TEVC.2010.2051446					APR 2011	2011																		1089-778X			WOS:000289157500002		
J	Mei, Yi; Tang, Ke; Yao, Xin				Tang, Ke/E-5656-2015	Tang, Ke/0000-0002-6236-2002; Yao, Xin/0000-0001-8837-4442			A Memetic Algorithm for Periodic Capacitated Arc Routing Problem								IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS				41	6			1654	1667		10.1109/TSMCB.2011.2158307					DEC 2011	2011																		1083-4419			WOS:000297342100017	21768050	
J	Mico, Joan C.; Soler, David				Mico, Joan C./K-5683-2014; Soler, David/K-2872-2014	Mico, Joan C./0000-0001-7120-5458; Soler, David/0000-0002-7707-1646			The capacitated general windy routing problem with turn penalties								OPERATIONS RESEARCH LETTERS				39	4			265	271		10.1016/j.orl.2011.04.007					JUL 2011	2011																		0167-6377			WOS:000294579400008		
J	Minh Hoang Ha; Bostel, Nathalie; Langevin, Andre; Rousseau, Louis-Martin				Langevin, Andre/L-6176-2019				Solving the Close-Enough Arc Routing Problem								NETWORKS				63	1			107	118		10.1002/net.21525					JAN 2014	2014																		0028-3045	1097-0037		WOS:000327733000009		
