PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
B	Yazici, A; Kirlik, G; Parlaktuna, O; Sipahioglu, A			IEEE	Yazici, Ahmet; Kirlik, Gokhan; Parlaktuna, Osman; Sipahioglu, Aydin			A Dynamic Path Planning Approach for Multi-Robot Sensor-Based Coverage Considering Energy Constraints	2009 IEEE-RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS					IEEE RSJ International Conference on Intelligent Robots and Systems	OCT 10-15, 2009	St Louis, MO	IEEE Robot & Automat Soc (RA), Robot Soc Japan (RSJ), Soc Instruments & Control Engn, IEEE Ind Elect Soc, Inst Control, Robot & Syst Korea, ABB, Barrett Technol, Inc, Willow Garage, ROBOTIS, Aldebaran Robot								Kirlik, Gokhan/L-3826-2019; Kirlik, Gokhan/Y-4512-2018; Kirlik, Gokhan/D-5322-2019	Kirlik, Gokhan/0000-0002-3823-908X; Kirlik, Gokhan/0000-0002-3823-908X; Kirlik, Gokhan/0000-0002-3823-908X														978-1-4244-3803-7				2009							5930	+		10.1109/IROS.2009.5354058								WOS:000285372903130						
B	Kansou, A; Yassine, A			IEEE	Kansou, Ali; Yassine, Adnan			A two ant colony approaches for the multi-depot capacitated arc routing problem	CIE: 2009 INTERNATIONAL CONFERENCE ON COMPUTERS AND INDUSTRIAL ENGINEERING, VOLS 1-3					International Conference on Computers and Industrial Engineering (CIE39)	JUL 06-09, 2009	Troyes, FRANCE																								978-1-4244-4135-8				2009							1040	1045		10.1109/ICCIE.2009.5223923								WOS:000277450700183						
S	Guastaroba, G; Mansini, R; Speranza, MG		Bertazzi, L; Speranza, MG; VanNunen, J		Guastaroba, Gianfranco; Mansini, Renata; Speranza, M. Grazia			Modeling The Pre-Auction Stage: The Truckload Case	INNOVATIONS IN DISTRIBUTION LOGISTICS	Lecture Notes in Economics and Mathematical Systems				International Workshop on Distribution Logistics	OCT, 2006	Brescia, ITALY									Mansini, Renata/F-5723-2010													0075-8442		978-3-540-92943-7				2009	619						219	+										WOS:000268669400011						
J	Prins, C; Labadi, N; Reghioui, M				Prins, C.; Labadi, N.; Reghioui, M.			Tour splitting algorithms for vehicle routing problems	INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH					12th IFAC/IFIP/IFORS/IEEE Symposium on Information Control Problems in Manufacturing (INCOM 2006)	MAY 17-JUL 19, 2006	St Etienne, FRANCE	IFAC, IFIP, IFORS, IEEE																					0020-7543	1366-588X					2009	47	2					507	535	PII 905751178	10.1080/00207540802426599								WOS:000261092500012						
B	Becaj, D; Zerovnik, J		Stirn, LZ; Zerovnik, J; Drobne, S; Lisec, A		Becaj, Darko; Zerovnik, Janez			OPTIMIZATION OF WASTE COLLECTION IN MARIBOR	PROCEEDINGS OF THE 10TH INTERNATIONAL SYMPOSIUM ON OPERATIONAL RESEARCH SOR 09					10th International Symposium on Operational Research	SEP 23-25, 2009	Nova Gorica, SLOVENIA	Austrian Sci Res Liason Office, Dept Ljubljana, Novo Mesto, Fac Info Studies, HIT, Nova Gorica, Slovenian Res Agency, Repub Slovenia																							978-961-6165-30-3				2009							57	+										WOS:000282765900008						
J	Brasileiro, LA; Lacerda, MG				Brasileiro, Luzenira Alves; Lacerda, Marcio Goncalves			ANALYSIS OF THE USE OF GIS IN THE COLLECTING VEHICLE ROUTING OF DOMESTIC SOLID WASTE	ENGENHARIA SANITARIA E AMBIENTAL																													1413-4152					OCT-DEC	2008	13	4					356	360		10.1590/S1413-41522008000400002								WOS:000207862300002						
J	Irnich, S				Irnich, Stefan			Solution of real-world postman problems	EUROPEAN JOURNAL OF OPERATIONAL RESEARCH																	Irnich, Stefan/0000-0001-9383-4546												0377-2217	1872-6860				OCT 1	2008	190	1					52	67		10.1016/j.ejor.2007.06.002								WOS:000255820700004						
J	Polacek, M; Doerner, KF; Hartl, RF; Maniezzo, V				Polacek, Michael; Doerner, Karl F.; Hartl, Richard F.; Maniezzo, Vittorio			A variable neighborhood search for the capacitated arc routing problem with intermediate facilities	JOURNAL OF HEURISTICS																Doerner, Karl/B-8769-2008; Hartl, Richard F/C-7043-2017	Doerner, Karl/0000-0001-8350-1393; Hartl, Richard F/0000-0002-0461-0979; maniezzo, vittorio/0000-0002-1220-1235												1381-1231					OCT	2008	14	5					405	423		10.1007/s10732-007-9050-2								WOS:000259142300002						
J	Imahori, S; Kushiya, M; Nakashima, T; Sugihara, K				Imahori, Shinji; Kushiya, Motoki; Nakashima, Takeru; Sugihara, Kokichi			Generation of cutter paths for hard material in wire EDM	JOURNAL OF MATERIALS PROCESSING TECHNOLOGY																													0924-0136					SEP 12	2008	206	1-3					453	461		10.1016/j.jmatprotec.2007.12.039								WOS:000257563200058						
J	Neumann, F				Neumann, Frank			Expected runtimes of evolutionary algorithms for the Eulerian cycle problem	COMPUTERS & OPERATIONS RESEARCH					Congress on Evolutionary Computation (CEC 2004)	JUN 19-23, 2004	Portland, OR	IEEE, Neural Network Soc, Evolutionary Programming Soc, IEEE									Neumann, Frank/0000-0002-2721-3618												0305-0548	1873-765X				SEP	2008	35	9					2750	2759		10.1016/j.cor.2006.12.009								WOS:000253801400004						
J	Bautista, J; Fernandez, E; Pereira, J				Bautista, Joaquin; Fernandez, Elena; Pereira, Jordi			Solving an urban waste collection problem using ants heuristics	COMPUTERS & OPERATIONS RESEARCH																Fernandez, Elena/E-1799-2012; Bautista, Joaquin/K-7146-2014	Fernandez, Elena/0000-0003-4714-0257; Bautista, Joaquin/0000-0002-2214-4991; Pereira, Jordi/0000-0002-1736-3575												0305-0548	1873-765X				SEP	2008	35	9					3020	3033		10.1016/j.cor.2007.01.029								WOS:000253801400021						
J	Santos, L; Coutinho-Rodrigues, J; Current, JR				Santos, Luis; Coutinho-Rodrigues, Joao; Current, John R.			Implementing a multi-vehicle multi-route spatial decision support system for efficient trash collection in Portugal	TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE																nipe, cef/A-4218-2010; Coutinho-Rodrigues, Joao/F-5338-2014	Coutinho-Rodrigues, Joao/0000-0001-9311-5584												0965-8564					JUL	2008	42	6					922	934		10.1016/j.tra.2007.08.009								WOS:000257127800007						
J	Mohan, S; Gendreau, M; Rousseau, JM				Mohan, Srimathy; Gendreau, Michel; Rousseau, Jean-Marc			The Stochastic Eulerian tour problem	TRANSPORTATION SCIENCE																Gendreau, Michel/N-7950-2019; Gendreau, Michel/M-6235-2018	Gendreau, Michel/0000-0002-9262-3648; Gendreau, Michel/0000-0002-9262-3648												0041-1655					MAY	2008	42	2					166	174		10.1287/trsc.1080.0232								WOS:000255587300003						
J	Brandao, J; Eglese, R				Brandao, Jose; Eglese, Richard			A deterministic tabu search algorithm for the capacitated arc routing problem	COMPUTERS & OPERATIONS RESEARCH																EEG, Universidade Minho/F-9143-2010; Brandao, Jose/D-3456-2011	Brandao, Jose/0000-0002-6276-3957; Eglese, Richard William/0000-0003-2781-9828												0305-0548	1873-765X				APR	2008	35	4					1112	1126		10.1016/j.cor.2006.07.007								WOS:000251006500008						
J	Soler, D; Martinez, E; Mico, JC				Soler, D.; Martinez, E.; Mico, J. C.			A transformation for the mixed general routing problem with turn penalties	JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY																Mico, Joan C./K-5683-2014; Martinez, Eulalia/K-7913-2014; Soler, David/K-2872-2014	Mico, Joan C./0000-0001-7120-5458; Martinez, Eulalia/0000-0003-2869-4334; Soler, David/0000-0002-7707-1646												0160-5682					APR	2008	59	4					540	547		10.1057/palgrave.jors.2602385								WOS:000254299200013						
J	Perrier, N; Langevin, A; Amaya, CA				Perrier, Nathalie; Langevin, Andre; Amaya, Ciro-Alberto			Vehicle routing for urban snow plowing operations	TRANSPORTATION SCIENCE																Amaya, Ciro-Alberto/B-3536-2008; Langevin, Andre/L-6176-2019	Amaya, Ciro-Alberto/0000-0003-1537-1616; 												0041-1655					FEB	2008	42	1					44	56		10.1287/trsc.1070.0195								WOS:000252670700004						
B	Zhu, ZY; Xia, MS; Yang, Y; Li, XH; Deng, X; Xie, ZH			IEEE	Zhu, Zhengyu; Xia, Mengshuang; Yang, Yong; Li, Xiaohua; Deng, Xin; Xie, Zhihua			An Improved Genetic Algorithm for the Extended Capacitated Arc Routing Problem	2008 7TH WORLD CONGRESS ON INTELLIGENT CONTROL AND AUTOMATION, VOLS 1-23					7th World Congress on Intelligent Control and Automation	JUN 25-27, 2008	Chongqing, PEOPLES R CHINA	Chongqing Univ, Chongqing Inst Technol, Chongqing Univ Sci & Technol, Xihua Univ, SW Univ Sci & Technol, IEEE Robot & Automat Soc, IEEE Control Syst Soc, Beijing Chapter, Chinese Assoc Automat, Chinese Assoc Artificial Intell, Natl Nat Sci Fdn, Chongqing Municipal Sci & Technol Comm, Chongqing Municipal Assoc Sci & Technol, KC Wong Educ Fdn																							978-1-4244-2113-8				2008							2017	2022		10.1109/WCICA.2008.4593234								WOS:000259965701158						
B	Belkhelladi, K; Chauvet, P; Schaal, A			IEEE	Belkhelladi, Kamel; Chauvet, Pierre; Schaal, Arnaud			An Agent Framework with an efficient information exchange model for Distributed Genetic Algorithms	2008 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION, VOLS 1-8	IEEE Congress on Evolutionary Computation				IEEE Congress on Evolutionary Computation	JUN 01-06, 2008	Hong Kong, PEOPLES R CHINA	IEEE									CHAUVET, Pierre/0000-0002-3843-5179														978-1-4244-1822-0				2008							848	853		10.1109/CEC.2008.4630895								WOS:000263406500128						
S	Labadi, N; Prins, C; Reghioui, M		Fink, A; Rothlauf, F		Labadi, Nacima; Prins, Christian; Reghioui, Mohamed			GRASP with Path Relinking for the Capacitated Arc Routing Problem with Time Windows	ADVANCES IN COMPUTATIONAL INTELLIGENCE IN TRANSPORT, LOGISTICS, AND SUPPLY CHAIN MANAGEMENT	Studies in Computational Intelligence																												1860-949X		978-3-540-69024-5				2008	144						111	135			10.1007/978-3-540-69390-1							WOS:000266823300006						
B	Belkhelladi, K; Chauvet, P; Schaal, A		Filipe, J; Cetto, JA; Ferrier, JL		Belkhelladi, Kamel; Chauvet, Pierre; Schaal, Arnaud			An efficient information exchange strategy in a distributed computing system - Application to the CARP	ICINCO 2008: PROCEEDINGS OF THE FIFTH INTERNATIONAL CONFERENCE ON INFORMATICS IN CONTROL, AUTOMATION AND ROBOTICS, VOL ICSO: INTELLIGENT CONTROL SYSTEMS AND OPTIMIZATION					5th International Conference on Informatics in Control, Automation and Robotics	MAY 11-15, 2008	Funchal, PORTUGAL	Inst Syst & Technologies Informat, Control & Commun, Univ Madeira, IEEE Syst, Man & Cybernet Soc, Int Federat Automat Control, Assoc Advancement Artificial Intelligence									CHAUVET, Pierre/0000-0002-3843-5179														978-989-8111-30-2				2008							342	+										WOS:000258902100053						
B	Liu, TT; Jiang, ZB; Chen, F; Liu, R; Liu, SJ			IEEE	Liu, Tiantang; Jiang, Zhibin; Chen, Feng; Liu, Ran; Liu, Shujun			Combined Location-Arc Routing Problems: A Survey and Suggestions for Future Research	IEEE/SOLI'2008: PROCEEDINGS OF 2008 IEEE INTERNATIONAL CONFERENCE ON SERVICE OPERATIONS AND LOGISTICS, AND INFORMATICS, VOLS 1 AND 2					IEEE International Conference on Service Operations and Logistics and Informatics	OCT 12-15, 2008	Beijing Jiaoton Univ, Beijing, PEOPLES R CHINA	IEEE, IEEE Intelligent Transportat Syst Soc, Inst Operat Res & Management Sci, Serv Sci, Natl Sci Fdn China, K C Wong Educ Fdn, IBM, Chinese Acad Sci, Inst Automat	Beijing Jiaoton Univ																						978-1-4244-2012-4				2008							2336	2341		10.1109/SOLI.2008.4682926								WOS:000260563001165						
J	Damodaran, P; Krishnamurthi, M; Srihari, K				Damodaran, Purushothaman; Krishnamurthi, Murali; Srihari, Krishnaswami			Lower Bounds For Hierarchical Chinese Postman Problem	INTERNATIONAL JOURNAL OF INDUSTRIAL ENGINEERING-THEORY APPLICATIONS AND PRACTICE																													1943-670X						2008	15	1					36	44										WOS:000207662700004						
B	Jha, MK; Udenta, F; Chacha, S; Karri, G		Panagopoulos, T; Burley, JB; Celikyay, S		Jha, Manoj K.; Udenta, Francis; Chacha, Simon; Karri, Gautham			A Modified Arc Routing Problem for Highway Feature Inspection Considering Work-Shift and Overtime Limit Constraints	NEW ASPECTS OF URBAN PLANNING AND TRANSPORTATION	Mathematics and Computers in Science and Engineering				WESEAS International Conference on Urban Planning and Transportation	JUL 22-24, 2008	Heraklion, GREECE																								978-960-6766-87-9				2008							105	109										WOS:000260247600016						
S	Maniezzo, V; Roffilli, M		Cotta, C; VanHemert, J		Maniezzo, Vittorio; Roffilli, Matteo			Algorithms for Large Directed Capacitated Arc Routing Problem Instances Urban Solid Waste Collection Operational Support	RECENT ADVANCES IN EVOLUTIONARY COMPUTATION FOR COMBINATORIAL OPTIMIZATION	Studies in Computational Intelligence				7th European Conference on Evolutionary Computation in Combinatorial Optimization (EvoCOP 2007)	APR 11-13, 2007	Valencia, SPAIN										maniezzo, vittorio/0000-0002-1220-1235												1860-949X		978-3-540-70806-3				2008	153						259	274										WOS:000262163400016						
S	Labadi, N; Prins, C; Reghioui, M		Cotta, C; VanHemert, J		Labadi, Nacima; Prins, Christian; Reghioui, Mohamed			An Evolutionary Algorithm with Distance Measure for the Split Delivery Capacitated Arc Routing Problem	RECENT ADVANCES IN EVOLUTIONARY COMPUTATION FOR COMBINATORIAL OPTIMIZATION	Studies in Computational Intelligence				7th European Conference on Evolutionary Computation in Combinatorial Optimization (EvoCOP 2007)	APR 11-13, 2007	Valencia, SPAIN																						1860-949X		978-3-540-70806-3				2008	153						275	294										WOS:000262163400017						
J	Corberan, A; Plana, I; Sanchis, JM				Corberan, Angel; Plana, Isaac; Sanchis, Jose M.			The windy general routing polyhedron: A global view of many known arc routing polyhedra	SIAM JOURNAL ON DISCRETE MATHEMATICS																SANCHIS, JOSE M/H-5912-2015; Corberan, Angel/K-2435-2014; Plana, Isaac/H-6656-2015	SANCHIS, JOSE M/0000-0002-0039-8122; Plana, Isaac/0000-0002-0516-4608; Corberan, Angel/0000-0002-0664-4232												0895-4801	1095-7146					2008	22	2					606	628		10.1137/050640886								WOS:000256452900012						
S	Wohlk, S		Golden, B; Raghavan, S; Wasil, E		Wohlk, Sanne			A Decade of Capacitated Arc Routing	VEHICLE ROUTING PROBLEM: LATEST ADVANCES AND NEW CHALLENGES	Operations Research Computer Science Interfaces																												1387-666X		978-0-387-77778-8; 978-0-387-77777-1				2008	43						29	48		10.1007/978-0-387-77778-8_2	10.1007/978-0-387-77778-8							WOS:000269946300003						
J	Moreira, LA; Oliveira, JF; Gomes, AM; Ferreira, JS				Moreira, Luis A.; Oliveira, Jose F.; Gomes, A. Miguel; Ferreira, J. Soeiro			Heuristics for a dynamic rural postman problem	COMPUTERS & OPERATIONS RESEARCH																Oliveira, Jose Fernando/C-3820-2018; Gomes, A. Miguel/B-9185-2009; Moreira, Luis/M-7755-2013	Oliveira, Jose Fernando/0000-0002-4061-1311; Gomes, A. Miguel/0000-0002-6251-2496; Moreira, Luis/0000-0002-8426-6871; Soeiro Ferreira, Jose/0000-0002-7552-9924												0305-0548	1873-765X				NOV	2007	34	11					3281	3294		10.1016/j.cor.2005.12.008								WOS:000246878100007						
J	Tagmouti, M; Gendreau, M; Potvin, JY				Tagmouti, Mariam; Gendreau, Michel; Potvin, Jean-Yves			Arc routing problems with time-dependent service costs	EUROPEAN JOURNAL OF OPERATIONAL RESEARCH																Gendreau, Michel/M-6235-2018; Gendreau, Michel/N-7950-2019	Gendreau, Michel/0000-0002-9262-3648; Gendreau, Michel/0000-0002-9262-3648												0377-2217					AUG 16	2007	181	1					30	39		10.1016/j.ejor.2006.06.028								WOS:000245560400004						
J	Sbihi, A; Eglese, RW				Sbihi, Abdelkader; Eglese, Richard W.			Combinatorial optimization and green logistics	4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH																SBIHI, Abdelkader/I-1331-2013	SBIHI, Abdelkader/0000-0002-5890-1667; Eglese, Richard William/0000-0003-2781-9828												1619-4500					JUL	2007	5	2					99	116		10.1007/s10288-007-0047-3								WOS:000255338500001						
J	Corberan, A; Plana, I; Sanchis, JM				Corberan, Angel; Plana, Isaac; Sanchis, Jose M.			A branch & cut algorithm for the windy general routing problem and special cases	NETWORKS					International Workshop on Vehicle Routing, Intermodal Transportation	JUN 23-26, 2005	Bertinoro, ITALY									SANCHIS, JOSE M/H-5912-2015; Plana, Isaac/H-6656-2015; Corberan, Angel/K-2435-2014	SANCHIS, JOSE M/0000-0002-0039-8122; Plana, Isaac/0000-0002-0516-4608; Corberan, Angel/0000-0002-0664-4232												0028-3045	1097-0037				JUL	2007	49	4					245	257		10.1002/net.20176								WOS:000247353800002						
J	Gribkovskaia, I; Halskau, O				Gribkovskaia, Irina; Halskau, Oyvind, Sr.			The bridges of Konigsberg - A historical perspective	NETWORKS																	Gribkovskaia, Irina/0000-0002-0078-3426												0028-3045	1097-0037				MAY	2007	49	3					199	203		10.1002/net.20159								WOS:000245635200003						
J	Benavent, E; Carrotta, A; Corberan, A; Sanchis, JM; Vigo, D				Benavent, Enrique; Carrotta, Alessandro; Corberan, Angel; Sanchis, Jose M.; Vigo, Daniele			Lower bounds and heuristics for the Windy Rural Postman Problem	EUROPEAN JOURNAL OF OPERATIONAL RESEARCH																SANCHIS, JOSE M/H-5912-2015; Benavent, Enrique/H-5884-2015; Vigo, Daniele/K-3979-2013; Corberan, Angel/K-2435-2014	SANCHIS, JOSE M/0000-0002-0039-8122; Vigo, Daniele/0000-0002-1499-8452; Corberan, Angel/0000-0002-0664-4232												0377-2217	1872-6860				JAN 16	2007	176	2					855	869		10.1016/j.ejor.2005.09.021								WOS:000241709800012						
B	Deng, X; Zhu, ZY; Yang, Y; Li, XH; Tian, YY; Xia, MS			IEEE	Deng, Xin; Zhu, Zhengyu; Yang, Yong; Li, Xiaohua; Tian, Yunyan; Xia, Mengshuang			A genetic algorithm for the capacitated arc routing problem	2007 IEEE INTERNATIONAL CONFERENCE ON AUTOMATION AND LOGISTICS, VOLS 1-6					IEEE International Conference on Automation and Logistics	AUG 18-21, 2007	Jinan, PEOPLES R CHINA	IEEE, IEEE Robot & Automat Soc, Shandong Univ, Chinese Univ Hong Kong, Chinese Mech Engn Soc, Logist Engn Inst China, China Federat Logist & Purchasing, IEEE Hong Kong, Sect RACS Chapter																							978-1-4244-1530-4				2007							1551	1556		10.1109/ICAL.2007.4338818								WOS:000252380300300						
B	Zhu, ZY; Li, XH; Yang, Y; Deng, X; Xia, MS; Xie, ZH; Liu, JH			IEEE	Zhu, Zhengyu; Li, Xiaohua; Yang, Yong; Deng, Xin; Xia, Mengshuang; Xie, Zhihua; Liu, Jianhui			A hybrid genetic algorithm for the multiple depot capacitated arc routing problem	2007 IEEE INTERNATIONAL CONFERENCE ON AUTOMATION AND LOGISTICS, VOLS 1-6					IEEE International Conference on Automation and Logistics	AUG 18-21, 2007	Jinan, PEOPLES R CHINA	IEEE, IEEE Robot & Automat Soc, Shandong Univ, Chinese Univ Hong Kong, Chinese Mech Engn Soc, Logist Engn Inst China, China Federat Logist & Purchasing, IEEE Hong Kong, Sect RACS Chapter																							978-1-4244-1530-4				2007							2253	2258		10.1109/ICAL.2007.4338951								WOS:000252380300433						
S	Reghioui, M; Prins, C; Labadi, N		Giacobini, M		Reghioui, Mohamed; Prins, Christian; Labadi, Nacima			GRASP with path relinking for the capacitated arc routing problem with time windows	APPLICATIONS OF EVOLUTIONARY COMPUTING, PROCEEDINGS	Lecture Notes in Computer Science				EvoWorkshops 2007	APR 11-13, 2007	Valencia, SPAIN	Univ Politecn Valencia, Inst Tecnol Informat, Minist Educ & Ciencia, Napier Univ, Ctr Emergent Comp																					0302-9743		978-3-540-71804-8				2007	4448						722	+										WOS:000246103300079						
J	Perrier, N; Langevin, A; Campbell, JF				Perrier, Nathalie; Langevin, Andre; Campbell, James F.			A survey of models and algorithms for winter road maintenance. Part III: Vehicle routing and depot location for spreading	COMPUTERS & OPERATIONS RESEARCH																Langevin, Andre/L-6176-2019	Campbell, James/0000-0003-2951-8703												0305-0548	1873-765X				JAN	2007	34	1					211	257		10.1016/j.cor.2005.05.007								WOS:000240973800011						
J	Perrier, N; Langevin, A; Campbell, JF				Perrier, Nathalie; Langevin, Andre; Campbell, James F.			A survey of models and algorithms for winter road maintenance. Part IV: Vehicle routing and fleet sizing for plowing and snow disposal	COMPUTERS & OPERATIONS RESEARCH																Langevin, Andre/L-6176-2019	Campbell, James/0000-0003-2951-8703												0305-0548	1873-765X				JAN	2007	34	1					258	294		10.1016/j.cor.2005.05.008								WOS:000240973800012						
J	Amaya, A; Langevin, A; Trepanier, M				Amaya, Alberto; Langevin, Andre; Trepanier, Martin			The capacitated arc routing problem with refill points	OPERATIONS RESEARCH LETTERS																Langevin, Andre/L-6176-2019; Amaya, Ciro-Alberto/B-3536-2008	Amaya, Ciro-Alberto/0000-0003-1537-1616												0167-6377					JAN	2007	35	1					45	53		10.1016/j.orl.2005.12.009								WOS:000244488300007						
